id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
71189.0,0.88395804,3074760887648657.0,0.0006669410705222156,5.293299548788242e-10,2319888756267.4727,1110446497.05,1.4955121664955555,2.874883843979113e-16
31173.0,50.33503,7710705616484645.0,0.07482961011987815,5.660936756679427e-08,11462973103039.785,5140848178.89,1.4955121664955555,6.527940827151956e-15
110237.0,0.84258974,804584057016194.2,0.00020045808117256006,1.2379674647535624e-10,191416259366.6284,13926244.54,1.4955121664955555,1.0472364355872897e-15
11143.0,5.1140823,1266673173494446.2,0.010166867709162173,7.350581352723798e-09,2518164126076.473,587699427.71,1.4955121664955555,4.037412654671985e-15
62343.0,8.699639,3503040156091901.5,0.00986436877939879,7.4042430755755645e-09,3972036075144.4077,556919886.69,1.4955121664955555,2.483453974934042e-15
72857.0,41.584362,1.8380244443043096e+16,0.044511795810188715,3.337378380804069e-08,19674167120565.418,3692153912.7,1.4955121664955555,2.262448800877599e-15
57450.0,34.0309,2.9717941622985024e+16,0.02788425623032256,2.128204138996493e-08,24350302191628.26,4542343825.24,1.4955121664955555,1.1451297815888826e-15
174154.0,26.853128,3.018470161240735e+16,0.01096758379377438,8.585889737747414e-09,12328293531545.162,7729116010.02,1.4955121664955555,8.896270814538079e-16
128581.0,55.985283,2.5884231369852796e+16,0.055125710623893105,4.081917930440759e-08,25486816744614.85,5886958336.26,1.4955121664955555,2.162910777609789e-15
108834.0,1.258658,837356060004801.8,0.004710111876537675,3.5163895443190732e-09,3133528506647.0884,312414183.71,1.4955121664955555,1.5031335654187329e-15
176410.0,16.138386,1.233553863451557e+16,0.014804673761175962,1.0948449752041361e-08,11316102189672.809,4917125674.4,1.4955121664955555,1.3082838518979494e-15
56686.0,0.5180218,773022398914948.0,4.811002511247833e-05,4.7852723015096644e-11,71792590629.01677,2780646.9000000004,1.4955121664955555,6.701252133536113e-16
178568.0,41.43358,3.012796251984107e+16,0.03031544604312523,2.2416428343159955e-08,22043536237021.79,1903543006.18,1.4955121664955555,1.3752533040597585e-15
140612.0,71.87937,5.7012050399735384e+16,0.06868455492972242,5.1880788190556895e-08,54478041576278.82,9152874888.88,1.4955121664955555,1.260775037838906e-15
120673.0,2.15911,2794150949650378.0,0.0018144102854256523,1.3201958475872572e-09,2348067593627.698,191457209.33,1.4955121664955555,7.727248952924901e-16
119471.0,11.338058,8556686059884752.0,0.006557194571688412,4.8311901523264874e-09,4948630125504.579,1236523419.42,1.4955121664955555,1.325052470156035e-15
78465.0,42.97678,4.612635121464742e+16,0.05423885698718143,4.0077897557871695e-08,58213774202529.0,7602018424.48,1.4955121664955555,9.317186135102904e-16
241409.0,8.695744,5723445163745096.0,0.006309897178118745,4.945738146381683e-09,4153106449296.6396,715081995.42,1.4955121664955555,1.5193198766160626e-15
100895.0,0.40763986,227117024758763.22,0.0005565295281388938,5.68002993986582e-10,310071077497.9266,7628854.2,1.4955121664955555,1.7948450162773252e-15
203884.0,11.051979,9875478740618424.0,0.008231614237866433,5.605792011579999e-09,7355346169859.887,1697100046.43,1.4955121664955555,1.1191334911737048e-15
31176.0,16.372597,1.3958952959655566e+16,0.015218541202885684,1.1173316422946493e-08,12975027771444.037,2385125894.95,1.4955121664955555,1.1729101063181739e-15
215983.0,20.72887,1.594624987835615e+16,0.02080111035095514,1.58502313261927e-08,16001822743043.459,2165547306.0,1.4955121664955555,1.2999213080271182e-15
0.0,14.557157,3682860503007103.0,0.012066499720563407,8.875300921866632e-09,3052741358110.599,852771456.45,1.4955121664955555,3.952676727265096e-15
124626.0,5.762293,1788366666187548.2,0.012925131849216788,9.674520857393376e-09,4011402223944.2407,809346967.82,1.4955121664955555,3.222098191018117e-15
116810.0,18.051708,1.4865667853566394e+16,0.017511478432330172,1.3603554547604435e-08,14420786221442.97,2365669248.69,1.4955121664955555,1.214322032337703e-15
82590.0,0.18145488,153558639234168.3,9.32697595335049e-05,5.999258985307979e-11,78930791807.10439,1554688.0,1.4955121664955555,1.181665068829449e-15
125320.0,5.96988,6937614821237562.0,0.00964676721146465,7.293972458829265e-09,11210536088377.941,440281650.62,1.4955121664955555,8.605090011231074e-16
94945.0,0.12369762,53731067435020.66,0.0031580922556199644,2.2426214334269694e-09,1371794121444.9624,127811219.14,1.4955121664955555,2.3021619689501417e-15
207032.0,16.73562,1.0422144944405434e+16,0.01879733858653937,1.3906955788601005e-08,11706084824940.96,2190362777.22,1.4955121664955555,1.6057750193719592e-15
180496.0,10.3406,4445871688843863.0,0.011666076227818595,8.809029470696026e-09,5015751312414.473,1333657749.86,1.4955121664955555,2.325888087581998e-15
73230.0,3.3773212,1837291217869261.2,0.010261654204274186,7.699320511405576e-09,5582426436172.001,519992920.94,1.4955121664955555,1.8382067944115785e-15
50047.0,40.511623,7956205765105038.0,0.06719890184871542,5.0582935351960506e-08,13197404860760.016,2259228154.79,1.4955121664955555,5.091826958231662e-15
173520.0,2.128195,1171785714483462.5,0.008125453032998975,6.0789888057812455e-09,4473880348264.384,517502905.25,1.4955121664955555,1.816198110025718e-15
67917.0,2.7946923,3708698780972743.5,0.0019279864467855196,1.2886135448955709e-09,2558536045247.4243,1624083772.48,1.4955121664955555,7.535506292228425e-16
